mother	Do you resemble your mother?	Where is my mother.	My mom.
father	I love my father.	Where is my father.
food	What are you having for dinner?	Don't say that, I'm hungry now.
school	I don’t like school.	It's time to go to school.
breakfast	My favorite breakfast is cereal.
book	The best book in the world is Communist Manifesto.
movie	Have you ever watch Star Wars?
pet	My cat's name is Sasuke.
music	I love K-Pop.
country	How many countries have you ever been to?
healthy	To be healthy, try to eat, drink, and rest well.
news	I haven't watch the news in ages.
train	Do you know? The name of the fastest train in Japan is Nozomi!
money	ฉันไม่มีตังตลอด	ขอตังหน่อย
sport	I hate sports.	I like football
car	I wanna have a Porsche, please buy it for me?
song	My favorite song is Butter-fly
game	You seem to be a game nerd.	I like to play valorant.	I like to play LOL.
ice cream	I recommend Swensens if you want to have some ice cream.
weekend	I will go shopping this weekend.
homework	I've never done homework.
Chulalongkorn	Chula? You mean the best university in the universe?
Attapol	Aj.Attapol is so cool!!!
Nozomi	ยังไงอ่าาาาาาาา
Tongla	I saw Tongla at Ramen shop yesterday.
Nat	I've never seen Nat.
Paragon	I want to go shopping.
Silom	Do you like Aoringo curry restaurant?
BTS	Bangtan or the Bangkok skytrain?
Bangkok	Bangkok? You mean Krung Thep Mahanakhon Amon Rattanakosin Mahinthara Ayuthaya Mahadilok Phop Noppharat Ratchathani Burirom Udomratchaniwet Mahasathan Amon Piman Awatan Sathit Sakkathattiya Witsanukam Prasit?
BNK48	Who is your Oshimen?
Jojo	Oraoraoraoraoraoraoraoraoraora
Sora Aoi	You know her too? I love watching her movies!
ECE	I think it is cool.
Ruslee	He is the best.
test	why you test ?
